"Acare","เอคอร์","Chompoopuntip Temtanamongkol","Independent Artist","Thailand","-","2007","-","1"
"Akina","アキナ","-","AVEX","Japan","-","1999","-","2"
"Ánh Sáng","-","-","Celeb Group","Vietnam","-","2006","-","3"
"Aun Aun","安安","Aun Li Ying","Prodigee Asia Talent","Malaysia","-","2000","-","4"
"Caith","-","-","STUN.GG","Indonesia","-","2009","-","5"
"Chaba","ชบา","Kritima Jangsawad","Independent Artist","Thailand","-","2000","-","6"
"Chacha","ชาช่า","Kanokrak Ngamlikitlert","Insight Entertainment","Thailand","-","2003","-","7"
"Coco","ココ","Inokuchi Koko","AVEX","Japan","-","2007","-","8"
"Devi","-","-","Indonesia Musik Nusantara","Indonesia","-","2000","-","9"
"DiDi","娣娣","Ouyang Didi","Dalingdao Music","China","-","2004","-","10"
"Duna","두나","Kang Du Na","CSR E&M","South Korea","-","2005","-","11"
"Elyn","愉苓","Elyn Leong Yu Ling","Yolo Onwards Culture","Malaysia","-","2003","-","12"
"Emma","-","Emma Zhu Yi Meng","Changchun Qiyun","China","-","2007","-","13"
"Geumhee","금희","Han Geum Hee","CSR E&M","South Korea","-","2005","-","14"
"Grace","เกรซ","Napapat Sasiphanitchakun","BDL MD Entertainment","Thailand","-","2009","-","15"
"Ilene","ไอลีน","Nampetch Ilene Collins","BDL MD Entertainment","Thailand","-","2009","-","16"
"J JAZZSPER","เจแจ๊สเปอร์","Chantaralak Buranathavornsom","High Cloud Entertainment","Thailand","-","1999","-","17"
"Jaoying","เจ้าหญิง","Krongkwan Nakhonthap","GMMTV","Thailand","-","2005","-","18"
"Jasmine","จัสมิน","Krittiyaluksana Chuthawaranon","Independent Artist","Thailand","-","2004","-","19"
"Jessica","เจสซิก้า","Kurisara Chanpai","Sole U Entertainment","Thailand","-","2003","-","20"
"Kanompang","ขนมปัง","Pateera Norkaew","4November Entertainment","Thailand","-","2007","-","21"
"Kaylen","ケイレン","-","AVEX","USA","-","2004","-","22"
"Kittie","边天语","Kittie Bian Tian Yu","XTS","China","-","2008","-","23"
"Krista Shim","คริสต้า ชิม","Krista Shim","True Tone Entertainment","Thailand","-","2007","-","24"
"Liliana Li","李诗恬","Liliana Li Shi Tian","Hangzhou Even Media","USA","-","2008","-","25"
"Lissa","ลิซซ่า","Melissa Ann Wonson","Insight Entertainment","Thailand","-","2003","-","26"
"Lu Yuting","陆雨婷","Lu Yuting","Golddust Entertainment","China","-","2005","-","27"
"Ma Liya","马丽亚","Ma Li Ya","Youhug Media","China","-","2002","-","28"
"Mamcù","曼簇","Si Dan Man Cu","The Voice of Dream","China","-","1999","-","29"
"Mao Xiu Ling","毛秀玲","Mao Xiu Ling","TopClass Entertainment","China","-","2005","-","30"
"Mao Xiu Ting","毛秀婷","Mao Xiu Ting","TopClass Entertainment","China","-","2005","-","31"
"MingMing","หมิงหมิง","Kanyakorn Namboonruang","BDL MD Entertainment","Thailand","-","2006","-","32"
"Natty","แนทตี้","Natthamon Jantraviphart","Shanghai Enjoy Media","Thailand","-","2002","-","33"
"Ninnint","นิ่นนิ้น","Suthicha Kanjana","Independent Artist","Thailand","-","2002","-","34"
"P.amp","แพม","Pam Tarradee Watancharoen","E-intent","Thailand","-","2002","-","35"
"Pailiu","ไผ่หลิว","Kamonwalai Prajakrattanakul","Miss Grand International","Thailand","-","1999","-","36"
"Panda","แพนด้า","Nattanicha Phattharasunthornwong","4November Entertainment","Thailand","-","2009","-","37"
"Pangjang","แพงจัง","Ketsiree Meesilp","BDL MD Entertainment","Thailand","-","2007","-","38"
"Phingphing","ผิงผิง","Nicha Piyawattananon","One31","Thailand","-","1999","-","39"
"Pimmie","พิมมี่","Pimlapas Jungsura","One31","Thailand","-","1999","-","40"
"Praew","แพรว","Laksika Leejinda","BDL MD Entertainment","Thailand","-","2008","-","41"
"Pream","พรีม","Nutnicha Sangmanee","GMMTV","Thailand","-","2006","-","42"
"Preemmy","ปรีมี","Thunayaporn Nakornsuwan","E-intent","Thailand","-","2004","-","43"
"Qiao Yi Yu","乔一魚","Qiao Yi Yu","Hijoy","China","-","2002","-","44"
"R-Jing","อาจิง","Jeeranan Laotanapong","GMM Music","Thailand","-","2003","-","45"
"Ray","เรย์","Venita Loywattanakul","Independent Artist","Thailand","-","2001","-","46"
"Rei","レイ","Kamikura Rei","AVEX","Japan","-","2004","-","47"
"Rinka","リンカ","Aratake Rinka","AVEX","Japan","-","2003","-","48"
"Rose","โรส","Pachira Panyasrivinit","4November Entertainment","Thailand","-","2005","-","49"
"Ruan","ルアン","Ikema Ruan","KISS Entertainment","Japan","-","2004","-","50"
"Seoyeon","서연","An Seo Yeon","CSR E&M","South Korea","-","2005","-","51"
"Shye","诗蒽","Trinity Shye-Anne Brown","Tri-7 Management","Singapore","-","2002","-","52"
"Si Yang","思扬","Betty Zhong Si Yang","Xingmeng Entertainment","China","-","2002","-","53"
"Tegan","ティーガン","-","AVEX","USA","-","2003","-","54"
"TK","ทีเค","Tonkaow Pavichaya Sornchai","RK Entertainment","Thailand","-","2007","-","55"
"TN","ตี๋เอ็น","Tonnam Preechaya Sornchai","RK Entertainment","Thailand","-","2009","-","56"
"Vita","วิต้า","Kavita Ruengrawee","World Star","Thailand","-","2007","-","57"
"Wang Ke","王珂","Wang Ke","AIM","China","-","2000","-","58"
"Wang Sheng Xi","王晟希","Wang Sheng Xi","TopClass Entertainment","China","-","2007","-","59"
"Wang Yibing","王一冰","Wang Yi Bing","ENTAEUS","China","-","2006","-","60"
"Wanyan Jiayi","完颜嘉怡","Wan Yan Jia Yi","T.H Entertainment","China","-","2003","-","61"
"Xin Meng","鑫萌","Qiao Xin Meng","Xunjie Entertainment","China","-","2007","-","62"
"Xuanning","轩宁","Tian Xuan Ning","Lize Media","China","-","1999","-","63"
"Xueyao","雪瑶","Zeng Xue Yao","Lize Media","China","-","2001","-","64"
"Yean","ยีนส์","Papitchaya Ekyotsuporn","KS GANG","Thailand","-","2003","-","65"
"Yeham","예함","Koo Ye Ham","CSR E&M","South Korea","-","2005","-","66"
"Yuan Ke","袁珂","Yuan Ke","T.H Entertainment","China","-","2003","-","67"
"Yui","ユイ","Ikenaga Yui","AVEX","Japan","-","2008","-","68"
"Zhang Xiang Yi","张香怡","Zhang Xiang Yi","TopClass Entertainment","China","-","2008","-","69"
"Zoi","ज़ोय","Zoya Shams","Fizzaart","India","-","2002","-","70"
